Produto,Região,Preço,Dia,Mês,Ano,Data,Média Precipitação Total (mm),Média Pressão Atmosférica (mB),Média Temperatura do Ar (°C),Média Umidade Relativa do Ar (%),Média Vento Velocidade (m/s)
Alface Americana,Ibiúna,"R$ 8,00",5,3,2013,2013-03-05 00:00:00,0.1625,945.417,23.49,74.68%,2.2
Alface Crespa,Ibiúna,"R$ 5,50",5,3,2013,2013-03-05 00:00:00,0.1625,945.417,23.49,74.68%,2.2
Alface Lisa,Ibiúna,"R$ 5,00",5,3,2013,2013-03-05 00:00:00,0.1625,945.417,23.49,74.68%,2.2
Alface Americana,Mogi das Cruzes,"R$ 9,43",5,3,2013,2013-03-05 00:00:00,0.1229,925.893,23.47,69.19%,2.24
Alface Crespa,Mogi das Cruzes,"R$ 7,00",5,3,2013,2013-03-05 00:00:00,0.1229,925.893,23.47,69.19%,2.24
Alface Lisa,Mogi das Cruzes,"R$ 8,00",5,3,2013,2013-03-05 00:00:00,0.1229,925.893,23.47,69.19%,2.24
Alface Americana,Ibiúna,"R$ 4,00",12,3,2013,2013-03-12 00:00:00,0.5365,944.121,23.72,81.38%,1.74
Alface Crespa,Ibiúna,"R$ 4,00",12,3,2013,2013-03-12 00:00:00,0.5365,944.121,23.72,81.38%,1.74
Alface Americana,Mogi das Cruzes,"R$ 7,67",12,3,2013,2013-03-12 00:00:00,0.5771,924.426,24.23,74.76%,1.89
Alface Crespa,Mogi das Cruzes,"R$ 6,00",12,3,2013,2013-03-12 00:00:00,0.5771,924.426,24.23,74.76%,1.89
Alface Lisa,Mogi das Cruzes,"R$ 7,00",12,3,2013,2013-03-12 00:00:00,0.5771,924.426,24.23,74.76%,1.89
Alface Americana,Ibiúna,"R$ 12,00",19,3,2013,2013-03-19 00:00:00,0.1312,945.85,21.5,82.04%,2.85
Alface Crespa,Ibiúna,"R$ 8,00",19,3,2013,2013-03-19 00:00:00,0.1312,945.85,21.5,82.04%,2.85
Alface Lisa,Ibiúna,"R$ 10,00",19,3,2013,2013-03-19 00:00:00,0.1312,945.85,21.5,82.04%,2.85
Alface Americana,Mogi das Cruzes,"R$ 10,67",19,3,2013,2013-03-19 00:00:00,0.2188,926.285,20.9,81.98%,2.5
Alface Crespa,Mogi das Cruzes,"R$ 9,67",19,3,2013,2013-03-19 00:00:00,0.2188,926.285,20.9,81.98%,2.5
Alface Lisa,Mogi das Cruzes,"R$ 10,80",19,3,2013,2013-03-19 00:00:00,0.2188,926.285,20.9,81.98%,2.5
Alface Americana,Ibiúna,"R$ 10,67",26,3,2013,2013-03-26 00:00:00,0.1427,945.636,20.74,81.77%,2.28
Alface Crespa,Ibiúna,"R$ 12,00",26,3,2013,2013-03-26 00:00:00,0.1427,945.636,20.74,81.77%,2.28
Alface Lisa,Ibiúna,"R$ 12,00",26,3,2013,2013-03-26 00:00:00,0.1427,945.636,20.74,81.77%,2.28
Alface Americana,Mogi das Cruzes,"R$ 11,00",26,3,2013,2013-03-26 00:00:00,0.1104,926.019,20.1,81.62%,1.88
Alface Crespa,Mogi das Cruzes,"R$ 10,67",26,3,2013,2013-03-26 00:00:00,0.1104,926.019,20.1,81.62%,1.88
Alface Lisa,Mogi das Cruzes,"R$ 12,00",26,3,2013,2013-03-26 00:00:00,0.1104,926.019,20.1,81.62%,1.88
Alface Americana,Ibiúna,"R$ 13,50",2,4,2013,2013-04-02 00:00:00,0.0667,947.604,21.01,78.44%,2.28
Alface Crespa,Ibiúna,"R$ 15,00",2,4,2013,2013-04-02 00:00:00,0.0667,947.604,21.01,78.44%,2.28
Alface Lisa,Ibiúna,"R$ 20,00",2,4,2013,2013-04-02 00:00:00,0.0667,947.604,21.01,78.44%,2.28
Alface Americana,Mogi das Cruzes,"R$ 12,00",2,4,2013,2013-04-02 00:00:00,0.0368,928.114,20.67,78.78%,1.79
Alface Crespa,Mogi das Cruzes,"R$ 11,25",2,4,2013,2013-04-02 00:00:00,0.0368,928.114,20.67,78.78%,1.79
Alface Lisa,Mogi das Cruzes,"R$ 12,00",2,4,2013,2013-04-02 00:00:00,0.0368,928.114,20.67,78.78%,1.79
Alface Crespa,Ibiúna,"R$ 15,00",3,4,2013,2013-04-03 00:00:00,0.2167,947.033,21.15,86.19%,1.04
Alface Americana,Ibiúna,"R$ 16,00",9,4,2013,2013-04-09 00:00:00,0.2071,945.092,21.82,84.32%,1.73
Alface Crespa,Ibiúna,"R$ 10,00",9,4,2013,2013-04-09 00:00:00,0.2071,945.092,21.82,84.32%,1.73
Alface Lisa,Ibiúna,"R$ 12,67",9,4,2013,2013-04-09 00:00:00,0.2071,945.092,21.82,84.32%,1.73
Alface Americana,Mogi das Cruzes,"R$ 11,60",9,4,2013,2013-04-09 00:00:00,0.1458,925.641,21.61,80.4%,1.93
Alface Crespa,Mogi das Cruzes,"R$ 11,14",9,4,2013,2013-04-09 00:00:00,0.1458,925.641,21.61,80.4%,1.93
Alface Lisa,Mogi das Cruzes,"R$ 11,00",9,4,2013,2013-04-09 00:00:00,0.1458,925.641,21.61,80.4%,1.93
Alface Americana,Ibiúna,"R$ 18,00",16,4,2013,2013-04-16 00:00:00,0.275,945.617,20.13,80.25%,2.14
Alface Crespa,Ibiúna,"R$ 8,00",16,4,2013,2013-04-16 00:00:00,0.275,945.617,20.13,80.25%,2.14
Alface Lisa,Ibiúna,"R$ 10,00",16,4,2013,2013-04-16 00:00:00,0.275,945.617,20.13,80.25%,2.14
Alface Americana,Mogi das Cruzes,"R$ 16,50",16,4,2013,2013-04-16 00:00:00,0.2229,925.814,19.99,77.28%,1.83
Alface Crespa,Mogi das Cruzes,"R$ 10,40",16,4,2013,2013-04-16 00:00:00,0.2229,925.814,19.99,77.28%,1.83
Alface Lisa,Mogi das Cruzes,"R$ 11,00",16,4,2013,2013-04-16 00:00:00,0.2229,925.814,19.99,77.28%,1.83
Alface Americana,Ibiúna,"R$ 25,00",23,4,2013,2013-04-23 00:00:00,0.001,949.073,17.67,74.78%,2.65
Alface Crespa,Ibiúna,"R$ 20,00",23,4,2013,2013-04-23 00:00:00,0.001,949.073,17.67,74.78%,2.65
Alface Lisa,Ibiúna,"R$ 10,00",23,4,2013,2013-04-23 00:00:00,0.001,949.073,17.67,74.78%,2.65
Alface Americana,Mogi das Cruzes,"R$ 17,40",23,4,2013,2013-04-23 00:00:00,0.0,929.252,17.92,71.97%,1.99
Alface Crespa,Mogi das Cruzes,"R$ 12,29",23,4,2013,2013-04-23 00:00:00,0.0,929.252,17.92,71.97%,1.99
Alface Lisa,Mogi das Cruzes,"R$ 13,60",23,4,2013,2013-04-23 00:00:00,0.0,929.252,17.92,71.97%,1.99
Alface Americana,Ibiúna,"R$ 11,00",30,4,2013,2013-04-30 00:00:00,0.0,949.4,19.21,73.96%,1.84
Alface Crespa,Ibiúna,"R$ 8,00",30,4,2013,2013-04-30 00:00:00,0.0,949.4,19.21,73.96%,1.84
Alface Americana,Mogi das Cruzes,"R$ 10,67",30,4,2013,2013-04-30 00:00:00,0.0,929.625,19.04,71.32%,1.57
Alface Crespa,Mogi das Cruzes,"R$ 8,40",30,4,2013,2013-04-30 00:00:00,0.0,929.625,19.04,71.32%,1.57
Alface Lisa,Mogi das Cruzes,"R$ 10,00",30,4,2013,2013-04-30 00:00:00,0.0,929.625,19.04,71.32%,1.57
Alface Americana,Ibiúna,"R$ 4,00",7,5,2013,2013-05-07 00:00:00,0.0031,946.955,20.17,76.05%,1.66
Alface Americana,Mogi das Cruzes,"R$ 12,00",7,5,2013,2013-05-07 00:00:00,0.0333,927.036,20.75,68.62%,1.45
Alface Crespa,Mogi das Cruzes,"R$ 9,00",7,5,2013,2013-05-07 00:00:00,0.0333,927.036,20.75,68.62%,1.45
Alface Lisa,Mogi das Cruzes,"R$ 9,50",7,5,2013,2013-05-07 00:00:00,0.0333,927.036,20.75,68.62%,1.45
Alface Americana,Ibiúna,"R$ 10,00",14,5,2013,2013-05-14 00:00:00,0.0021,949.503,17.17,69.52%,1.78
Alface Crespa,Ibiúna,"R$ 6,00",14,5,2013,2013-05-14 00:00:00,0.0021,949.503,17.17,69.52%,1.78
Alface Lisa,Ibiúna,"R$ 8,00",14,5,2013,2013-05-14 00:00:00,0.0021,949.503,17.17,69.52%,1.78
Alface Americana,Mogi das Cruzes,"R$ 15,00",14,5,2013,2013-05-14 00:00:00,0.001,929.544,17.64,66.64%,1.41
Alface Crespa,Mogi das Cruzes,"R$ 7,33",14,5,2013,2013-05-14 00:00:00,0.001,929.544,17.64,66.64%,1.41
Alface Lisa,Mogi das Cruzes,"R$ 7,50",14,5,2013,2013-05-14 00:00:00,0.001,929.544,17.64,66.64%,1.41
Alface Americana,Ibiúna,"R$ 10,00",24,5,2013,2013-05-24 00:00:00,0.0447,948.26,19.29,79.35%,2.06
Alface Crespa,Ibiúna,"R$ 6,00",24,5,2013,2013-05-24 00:00:00,0.0447,948.26,19.29,79.35%,2.06
Alface Lisa,Ibiúna,"R$ 8,00",24,5,2013,2013-05-24 00:00:00,0.0447,948.26,19.29,79.35%,2.06
Alface Americana,Mogi das Cruzes,"R$ 9,50",24,5,2013,2013-05-24 00:00:00,0.0697,928.411,19.24,75.25%,1.73
Alface Crespa,Mogi das Cruzes,"R$ 7,25",24,5,2013,2013-05-24 00:00:00,0.0697,928.411,19.24,75.25%,1.73
Alface Lisa,Mogi das Cruzes,"R$ 7,00",24,5,2013,2013-05-24 00:00:00,0.0697,928.411,19.24,75.25%,1.73
Alface Americana,Ibiúna,"R$ 12,50",27,5,2013,2013-05-27 00:00:00,0.071,948.534,16.34,80.62%,1.98
Alface Crespa,Ibiúna,"R$ 6,00",27,5,2013,2013-05-27 00:00:00,0.071,948.534,16.34,80.62%,1.98
Alface Lisa,Ibiúna,"R$ 8,00",27,5,2013,2013-05-27 00:00:00,0.071,948.534,16.34,80.62%,1.98
Alface Americana,Mogi das Cruzes,"R$ 7,75",27,5,2013,2013-05-27 00:00:00,0.0208,928.512,16.2,80.31%,1.82
Alface Crespa,Mogi das Cruzes,"R$ 6,20",27,5,2013,2013-05-27 00:00:00,0.0208,928.512,16.2,80.31%,1.82
Alface Lisa,Mogi das Cruzes,"R$ 7,00",27,5,2013,2013-05-27 00:00:00,0.0208,928.512,16.2,80.31%,1.82
Alface Americana,Ibiúna,"R$ 12,00",4,6,2013,2013-06-04 00:00:00,0.1977,947.699,16.77,86.84%,1.44
Alface Crespa,Ibiúna,"R$ 8,00",4,6,2013,2013-06-04 00:00:00,0.1977,947.699,16.77,86.84%,1.44
Alface Lisa,Ibiúna,"R$ 6,00",4,6,2013,2013-06-04 00:00:00,0.1977,947.699,16.77,86.84%,1.44
Alface Americana,Mogi das Cruzes,"R$ 7,50",4,6,2013,2013-06-04 00:00:00,0.1306,927.027,16.71,83.22%,1.44
Alface Crespa,Mogi das Cruzes,"R$ 6,00",4,6,2013,2013-06-04 00:00:00,0.1306,927.027,16.71,83.22%,1.44
Alface Lisa,Mogi das Cruzes,"R$ 6,00",4,6,2013,2013-06-04 00:00:00,0.1306,927.027,16.71,83.22%,1.44
Alface Americana,Ibiúna,"R$ 9,00",11,6,2013,2013-06-11 00:00:00,0.0052,950.873,17.3,78.43%,1.46
Alface Crespa,Ibiúna,"R$ 6,50",11,6,2013,2013-06-11 00:00:00,0.0052,950.873,17.3,78.43%,1.46
Alface Lisa,Ibiúna,"R$ 6,00",11,6,2013,2013-06-11 00:00:00,0.0052,950.873,17.3,78.43%,1.46
Alface Americana,Mogi das Cruzes,"R$ 8,40",11,6,2013,2013-06-11 00:00:00,0.0208,930.885,18.18,73.67%,1.16
Alface Crespa,Mogi das Cruzes,"R$ 9,33",11,6,2013,2013-06-11 00:00:00,0.0208,930.885,18.18,73.67%,1.16
Alface Lisa,Mogi das Cruzes,"R$ 8,00",11,6,2013,2013-06-11 00:00:00,0.0208,930.885,18.18,73.67%,1.16
Alface Americana,Ibiúna,"R$ 7,00",18,6,2013,2013-06-18 00:00:00,0.0969,948.841,17.29,83.98%,1.58
Alface Crespa,Ibiúna,"R$ 5,00",18,6,2013,2013-06-18 00:00:00,0.0969,948.841,17.29,83.98%,1.58
Alface Americana,Mogi das Cruzes,"R$ 9,00",18,6,2013,2013-06-18 00:00:00,0.1542,928.814,17.94,80.74%,1.34
Alface Crespa,Mogi das Cruzes,"R$ 10,25",18,6,2013,2013-06-18 00:00:00,0.1542,928.814,17.94,80.74%,1.34
Alface Lisa,Mogi das Cruzes,"R$ 10,67",18,6,2013,2013-06-18 00:00:00,0.1542,928.814,17.94,80.74%,1.34
Alface Americana,Ibiúna,"R$ 7,00",25,6,2013,2013-06-25 00:00:00,0.2946,947.924,17.45,82.82%,1.79
Alface Crespa,Ibiúna,"R$ 8,00",25,6,2013,2013-06-25 00:00:00,0.2946,947.924,17.45,82.82%,1.79
Alface Americana,Mogi das Cruzes,"R$ 9,75",25,6,2013,2013-06-25 00:00:00,0.2417,927.959,17.72,78.47%,1.66
Alface Crespa,Mogi das Cruzes,"R$ 10,00",25,6,2013,2013-06-25 00:00:00,0.2417,927.959,17.72,78.47%,1.66
Alface Lisa,Mogi das Cruzes,"R$ 9,33",25,6,2013,2013-06-25 00:00:00,0.2417,927.959,17.72,78.47%,1.66
Alface Americana,Mogi das Cruzes,"R$ 9,33",2,7,2013,2013-07-02 00:00:00,0.5873,928.286,17.43,88.79%,0.65
Alface Crespa,Mogi das Cruzes,"R$ 10,50",2,7,2013,2013-07-02 00:00:00,0.5873,928.286,17.43,88.79%,0.65
Alface Lisa,Mogi das Cruzes,"R$ 10,67",2,7,2013,2013-07-02 00:00:00,0.5873,928.286,17.43,88.79%,0.65
Alface Americana,Ibiúna,"R$ 15,00",3,7,2013,2013-07-03 00:00:00,0.4923,948.715,17.67,86.43%,1.96
Alface Crespa,Ibiúna,"R$ 15,00",3,7,2013,2013-07-03 00:00:00,0.4923,948.715,17.67,86.43%,1.96
Alface Americana,Ibiúna,"R$ 15,00",10,7,2013,2013-07-10 00:00:00,0.0042,952.469,17.36,79.67%,1.83
Alface Crespa,Ibiúna,"R$ 15,00",10,7,2013,2013-07-10 00:00:00,0.0042,952.469,17.36,79.67%,1.83
Alface Americana,Mogi das Cruzes,"R$ 12,00",10,7,2013,2013-07-10 00:00:00,0.0046,932.441,16.9,77.05%,1.88
Alface Crespa,Mogi das Cruzes,"R$ 12,67",10,7,2013,2013-07-10 00:00:00,0.0046,932.441,16.9,77.05%,1.88
Alface Lisa,Mogi das Cruzes,"R$ 12,00",10,7,2013,2013-07-10 00:00:00,0.0046,932.441,16.9,77.05%,1.88
Alface Americana,Ibiúna,"R$ 22,00",16,7,2013,2013-07-16 00:00:00,0.0036,950.732,16.73,78.64%,1.54
Alface Crespa,Ibiúna,"R$ 15,00",16,7,2013,2013-07-16 00:00:00,0.0036,950.732,16.73,78.64%,1.54
Alface Lisa,Ibiúna,"R$ 16,00",16,7,2013,2013-07-16 00:00:00,0.0036,950.732,16.73,78.64%,1.54
Alface Americana,Mogi das Cruzes,"R$ 14,33",16,7,2013,2013-07-16 00:00:00,0.0,930.636,17.44,70.85%,1.65
Alface Crespa,Mogi das Cruzes,"R$ 14,33",16,7,2013,2013-07-16 00:00:00,0.0,930.636,17.44,70.85%,1.65
Alface Lisa,Mogi das Cruzes,"R$ 14,00",16,7,2013,2013-07-16 00:00:00,0.0,930.636,17.44,70.85%,1.65
Alface Americana,Ibiúna,"R$ 19,00",25,7,2013,2013-07-25 00:00:00,0.1614,947.865,15.43,83.16%,1.94
Alface Crespa,Ibiúna,"R$ 19,00",25,7,2013,2013-07-25 00:00:00,0.1614,947.865,15.43,83.16%,1.94
Alface Lisa,Ibiúna,"R$ 15,00",25,7,2013,2013-07-25 00:00:00,0.1614,947.865,15.43,83.16%,1.94
Alface Americana,Mogi das Cruzes,"R$ 14,25",25,7,2013,2013-07-25 00:00:00,0.1957,927.643,16.09,75.64%,1.56
Alface Crespa,Mogi das Cruzes,"R$ 21,00",25,7,2013,2013-07-25 00:00:00,0.1957,927.643,16.09,75.64%,1.56
Alface Lisa,Mogi das Cruzes,"R$ 15,00",25,7,2013,2013-07-25 00:00:00,0.1957,927.643,16.09,75.64%,1.56
Alface Americana,Ibiúna,"R$ 17,00",31,7,2013,2013-07-31 00:00:00,0.0245,953.175,13.96,71.08%,2.03
Alface Crespa,Ibiúna,"R$ 17,00",31,7,2013,2013-07-31 00:00:00,0.0245,953.175,13.96,71.08%,2.03
Alface Lisa,Ibiúna,"R$ 10,00",31,7,2013,2013-07-31 00:00:00,0.0245,953.175,13.96,71.08%,2.03
Alface Americana,Mogi das Cruzes,"R$ 14,00",31,7,2013,2013-07-31 00:00:00,0.1354,933.045,13.4,73.29%,1.1
Alface Crespa,Mogi das Cruzes,"R$ 16,00",31,7,2013,2013-07-31 00:00:00,0.1354,933.045,13.4,73.29%,1.1
Alface Lisa,Mogi das Cruzes,"R$ 14,33",31,7,2013,2013-07-31 00:00:00,0.1354,933.045,13.4,73.29%,1.1
Alface Americana,Ibiúna,"R$ 11,50",6,8,2013,2013-08-06 00:00:00,0.0012,949.499,17.99,67.78%,1.66
Alface Crespa,Ibiúna,"R$ 11,75",6,8,2013,2013-08-06 00:00:00,0.0012,949.499,17.99,67.78%,1.66
Alface Lisa,Ibiúna,"R$ 9,50",6,8,2013,2013-08-06 00:00:00,0.0012,949.499,17.99,67.78%,1.66
Alface Americana,Mogi das Cruzes,"R$ 11,50",6,8,2013,2013-08-06 00:00:00,0.0,929.699,19.19,56.66%,1.33
Alface Crespa,Mogi das Cruzes,"R$ 13,33",6,8,2013,2013-08-06 00:00:00,0.0,929.699,19.19,56.66%,1.33
Alface Lisa,Mogi das Cruzes,"R$ 13,33",6,8,2013,2013-08-06 00:00:00,0.0,929.699,19.19,56.66%,1.33
Alface Americana,Ibiúna,"R$ 15,00",16,8,2013,2013-08-16 00:00:00,0.0106,948.299,16.46,69.62%,2.43
Alface Crespa,Ibiúna,"R$ 9,00",16,8,2013,2013-08-16 00:00:00,0.0106,948.299,16.46,69.62%,2.43
Alface Lisa,Ibiúna,"R$ 6,00",16,8,2013,2013-08-16 00:00:00,0.0106,948.299,16.46,69.62%,2.43
Alface Americana,Mogi das Cruzes,"R$ 11,33",16,8,2013,2013-08-16 00:00:00,0.0191,928.334,17.03,65.72%,2.09
Alface Crespa,Mogi das Cruzes,"R$ 11,50",16,8,2013,2013-08-16 00:00:00,0.0191,928.334,17.03,65.72%,2.09
Alface Lisa,Mogi das Cruzes,"R$ 11,00",16,8,2013,2013-08-16 00:00:00,0.0191,928.334,17.03,65.72%,2.09
Alface Americana,Ibiúna,"R$ 10,00",23,8,2013,2013-08-23 00:00:00,0.0,950.657,17.43,68.37%,3.15
Alface Crespa,Ibiúna,"R$ 9,50",23,8,2013,2013-08-23 00:00:00,0.0,950.657,17.43,68.37%,3.15
Alface Lisa,Ibiúna,"R$ 5,00",23,8,2013,2013-08-23 00:00:00,0.0,950.657,17.43,68.37%,3.15
Alface Americana,Mogi das Cruzes,"R$ 10,67",23,8,2013,2013-08-23 00:00:00,0.0032,930.952,16.76,69.45%,2.42
Alface Crespa,Mogi das Cruzes,"R$ 10,00",23,8,2013,2013-08-23 00:00:00,0.0032,930.952,16.76,69.45%,2.42
Alface Lisa,Mogi das Cruzes,"R$ 10,00",23,8,2013,2013-08-23 00:00:00,0.0032,930.952,16.76,69.45%,2.42
Alface Americana,Ibiúna,"R$ 12,00",29,8,2013,2013-08-29 00:00:00,0.0024,949.178,17.25,69.95%,2.15
Alface Crespa,Ibiúna,"R$ 6,00",29,8,2013,2013-08-29 00:00:00,0.0024,949.178,17.25,69.95%,2.15
Alface Lisa,Ibiúna,"R$ 5,00",29,8,2013,2013-08-29 00:00:00,0.0024,949.178,17.25,69.95%,2.15
Alface Americana,Mogi das Cruzes,"R$ 9,00",29,8,2013,2013-08-29 00:00:00,0.0181,929.116,17.64,65.52%,1.89
Alface Crespa,Mogi das Cruzes,"R$ 8,00",29,8,2013,2013-08-29 00:00:00,0.0181,929.116,17.64,65.52%,1.89
Alface Lisa,Mogi das Cruzes,"R$ 9,00",29,8,2013,2013-08-29 00:00:00,0.0181,929.116,17.64,65.52%,1.89
Alface Americana,Ibiúna,"R$ 11,33",4,9,2013,2013-09-04 00:00:00,0.0155,948.976,18.21,65.9%,2.05
Alface Crespa,Ibiúna,"R$ 6,75",4,9,2013,2013-09-04 00:00:00,0.0155,948.976,18.21,65.9%,2.05
Alface Lisa,Ibiúna,"R$ 6,67",4,9,2013,2013-09-04 00:00:00,0.0155,948.976,18.21,65.9%,2.05
Alface Americana,Mogi das Cruzes,"R$ 9,40",4,9,2013,2013-09-04 00:00:00,0.0202,929.117,18.63,58.36%,1.72
Alface Crespa,Mogi das Cruzes,"R$ 7,67",4,9,2013,2013-09-04 00:00:00,0.0202,929.117,18.63,58.36%,1.72
Alface Lisa,Mogi das Cruzes,"R$ 7,50",4,9,2013,2013-09-04 00:00:00,0.0202,929.117,18.63,58.36%,1.72
Alface Americana,Ibiúna,"R$ 8,00",13,9,2013,2013-09-13 00:00:00,0.0008,950.734,19.61,64.41%,2.41
Alface Crespa,Ibiúna,"R$ 8,00",13,9,2013,2013-09-13 00:00:00,0.0008,950.734,19.61,64.41%,2.41
Alface Lisa,Ibiúna,"R$ 8,00",13,9,2013,2013-09-13 00:00:00,0.0008,950.734,19.61,64.41%,2.41
Alface Americana,Mogi das Cruzes,"R$ 7,25",13,9,2013,2013-09-13 00:00:00,0.0033,931.067,19.01,65.02%,2.05
Alface Crespa,Mogi das Cruzes,"R$ 6,75",13,9,2013,2013-09-13 00:00:00,0.0033,931.067,19.01,65.02%,2.05
Alface Lisa,Mogi das Cruzes,"R$ 7,00",13,9,2013,2013-09-13 00:00:00,0.0033,931.067,19.01,65.02%,2.05
Alface Americana,Ibiúna,"R$ 7,00",20,9,2013,2013-09-20 00:00:00,0.0833,947.113,20.77,66.14%,2.06
Alface Crespa,Ibiúna,"R$ 5,50",20,9,2013,2013-09-20 00:00:00,0.0833,947.113,20.77,66.14%,2.06
Alface Lisa,Ibiúna,"R$ 6,00",20,9,2013,2013-09-20 00:00:00,0.0833,947.113,20.77,66.14%,2.06
Alface Americana,Mogi das Cruzes,"R$ 6,25",20,9,2013,2013-09-20 00:00:00,0.1466,927.549,20.44,62.64%,1.55
Alface Crespa,Mogi das Cruzes,"R$ 5,50",20,9,2013,2013-09-20 00:00:00,0.1466,927.549,20.44,62.64%,1.55
Alface Lisa,Mogi das Cruzes,"R$ 6,00",20,9,2013,2013-09-20 00:00:00,0.1466,927.549,20.44,62.64%,1.55
Alface Americana,Ibiúna,"R$ 6,00",27,9,2013,2013-09-27 00:00:00,0.2031,947.041,18.36,75.39%,3.04
Alface Crespa,Ibiúna,"R$ 6,00",27,9,2013,2013-09-27 00:00:00,0.2031,947.041,18.36,75.39%,3.04
Alface Lisa,Ibiúna,"R$ 5,67",27,9,2013,2013-09-27 00:00:00,0.2031,947.041,18.36,75.39%,3.04
Alface Americana,Mogi das Cruzes,"R$ 6,33",27,9,2013,2013-09-27 00:00:00,0.2263,927.193,17.83,74.99%,2.06
Alface Crespa,Mogi das Cruzes,"R$ 5,00",27,9,2013,2013-09-27 00:00:00,0.2263,927.193,17.83,74.99%,2.06
Alface Americana,Ibiúna,"R$ 5,00",4,10,2013,2013-10-04 00:00:00,0.3115,946.547,18.27,82.28%,2.21
Alface Crespa,Ibiúna,"R$ 5,00",4,10,2013,2013-10-04 00:00:00,0.3115,946.547,18.27,82.28%,2.21
Alface Lisa,Ibiúna,"R$ 5,00",4,10,2013,2013-10-04 00:00:00,0.3115,946.547,18.27,82.28%,2.21
Alface Americana,Mogi das Cruzes,"R$ 6,00",4,10,2013,2013-10-04 00:00:00,0.3068,926.732,17.66,81.49%,2.03
Alface Crespa,Mogi das Cruzes,"R$ 5,33",4,10,2013,2013-10-04 00:00:00,0.3068,926.732,17.66,81.49%,2.03
Alface Lisa,Mogi das Cruzes,"R$ 5,50",4,10,2013,2013-10-04 00:00:00,0.3068,926.732,17.66,81.49%,2.03
Alface Americana,Ibiúna,"R$ 7,50",11,10,2013,2013-10-11 00:00:00,0.101,949.594,18.04,70.35%,3.5
Alface Crespa,Ibiúna,"R$ 6,00",11,10,2013,2013-10-11 00:00:00,0.101,949.594,18.04,70.35%,3.5
Alface Lisa,Ibiúna,"R$ 6,00",11,10,2013,2013-10-11 00:00:00,0.101,949.594,18.04,70.35%,3.5
Alface Americana,Mogi das Cruzes,"R$ 5,60",11,10,2013,2013-10-11 00:00:00,0.1104,929.843,16.89,73.17%,2.6
Alface Crespa,Mogi das Cruzes,"R$ 5,00",11,10,2013,2013-10-11 00:00:00,0.1104,929.843,16.89,73.17%,2.6
Alface Lisa,Mogi das Cruzes,"R$ 6,00",11,10,2013,2013-10-11 00:00:00,0.1104,929.843,16.89,73.17%,2.6
Alface Americana,Mogi das Cruzes,"R$ 8,00",18,10,2013,2013-10-18 00:00:00,0.2885,926.68,20.21,70.88%,1.53
Alface Crespa,Mogi das Cruzes,"R$ 4,75",18,10,2013,2013-10-18 00:00:00,0.2885,926.68,20.21,70.88%,1.53
Alface Lisa,Mogi das Cruzes,"R$ 5,33",18,10,2013,2013-10-18 00:00:00,0.2885,926.68,20.21,70.88%,1.53
Alface Americana,Mogi das Cruzes,"R$ 7,40",25,10,2013,2013-10-25 00:00:00,0.0865,925.196,22.04,69.56%,1.98
Alface Crespa,Mogi das Cruzes,"R$ 5,40",25,10,2013,2013-10-25 00:00:00,0.0865,925.196,22.04,69.56%,1.98
Alface Lisa,Mogi das Cruzes,"R$ 5,67",25,10,2013,2013-10-25 00:00:00,0.0865,925.196,22.04,69.56%,1.98
Alface Americana,Ibiúna,"R$ 6,00",30,10,2013,2013-10-30 00:00:00,0.1362,945.727,21.41,70.74%,2.69
Alface Crespa,Ibiúna,"R$ 6,00",30,10,2013,2013-10-30 00:00:00,0.1362,945.727,21.41,70.74%,2.69
Alface Lisa,Ibiúna,"R$ 6,00",30,10,2013,2013-10-30 00:00:00,0.1362,945.727,21.41,70.74%,2.69
Alface Americana,Mogi das Cruzes,"R$ 7,00",30,10,2013,2013-10-30 00:00:00,0.0084,926.887,19.48,70.79%,2.69
Alface Crespa,Mogi das Cruzes,"R$ 5,50",30,10,2013,2013-10-30 00:00:00,0.0084,926.887,19.48,70.79%,2.69
Alface Lisa,Mogi das Cruzes,"R$ 5,33",30,10,2013,2013-10-30 00:00:00,0.0084,926.887,19.48,70.79%,2.69
Alface Americana,Mogi das Cruzes,"R$ 9,00",8,11,2013,2013-11-08 00:00:00,0.2025,927.1,18.64,76.45%,2.22
Alface Crespa,Mogi das Cruzes,"R$ 7,33",8,11,2013,2013-11-08 00:00:00,0.2025,927.1,18.64,76.45%,2.22
Alface Lisa,Mogi das Cruzes,"R$ 7,00",8,11,2013,2013-11-08 00:00:00,0.2025,927.1,18.64,76.45%,2.22
Alface Americana,Ibiúna,"R$ 7,00",13,11,2013,2013-11-13 00:00:00,0.0461,945.369,21.27,70.91%,3.09
Alface Crespa,Ibiúna,"R$ 7,00",13,11,2013,2013-11-13 00:00:00,0.0461,945.369,21.27,70.91%,3.09
Alface Lisa,Ibiúna,"R$ 7,00",13,11,2013,2013-11-13 00:00:00,0.0461,945.369,21.27,70.91%,3.09
Alface Americana,Mogi das Cruzes,"R$ 8,17",13,11,2013,2013-11-13 00:00:00,0.0,923.983,23.43,58.97%,2.59
Alface Crespa,Mogi das Cruzes,"R$ 5,83",13,11,2013,2013-11-13 00:00:00,0.0,923.983,23.43,58.97%,2.59
Alface Lisa,Mogi das Cruzes,"R$ 6,25",13,11,2013,2013-11-13 00:00:00,0.0,923.983,23.43,58.97%,2.59
