Produto,Região,Preço,Dia,Mês,Ano,Data
Alface Lisa,Mogi das Cruzes,"R$ 9,60",17,9,2015,2015-09-17 00:00:00
Alface Americana,Ibiúna,"R$ 8,28",17,9,2015,2015-09-17 00:00:00
Alface Crespa,Ibiúna,"R$ 7,37",17,9,2015,2015-09-17 00:00:00
Alface Lisa,Ibiúna,"R$ 9,50",17,9,2015,2015-09-17 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 10,48",24,9,2015,2015-09-24 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 9,75",24,9,2015,2015-09-24 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 11,67",24,9,2015,2015-09-24 00:00:00
Alface Americana,Ibiúna,"R$ 9,83",24,9,2015,2015-09-24 00:00:00
Alface Crespa,Ibiúna,"R$ 9,00",24,9,2015,2015-09-24 00:00:00
Alface Lisa,Ibiúna,"R$ 10,50",24,9,2015,2015-09-24 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,43",1,10,2015,2015-10-01 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 9,83",1,10,2015,2015-10-01 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,60",1,10,2015,2015-10-01 00:00:00
Alface Americana,Ibiúna,"R$ 10,17",1,10,2015,2015-10-01 00:00:00
Alface Crespa,Ibiúna,"R$ 10,67",1,10,2015,2015-10-01 00:00:00
Alface Lisa,Ibiúna,"R$ 12,50",1,10,2015,2015-10-01 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,68",8,10,2015,2015-10-08 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,33",8,10,2015,2015-10-08 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,80",8,10,2015,2015-10-08 00:00:00
Alface Americana,Ibiúna,"R$ 13,00",8,10,2015,2015-10-08 00:00:00
Alface Crespa,Ibiúna,"R$ 11,00",8,10,2015,2015-10-08 00:00:00
Alface Lisa,Ibiúna,"R$ 10,00",8,10,2015,2015-10-08 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,90",16,10,2015,2015-10-16 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,40",16,10,2015,2015-10-16 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 12,50",16,10,2015,2015-10-16 00:00:00
Alface Americana,Ibiúna,"R$ 12,38",16,10,2015,2015-10-16 00:00:00
Alface Crespa,Ibiúna,"R$ 9,38",16,10,2015,2015-10-16 00:00:00
Alface Lisa,Ibiúna,"R$ 10,33",16,10,2015,2015-10-16 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,12",23,10,2015,2015-10-23 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,00",23,10,2015,2015-10-23 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 11,20",23,10,2015,2015-10-23 00:00:00
Alface Americana,Ibiúna,"R$ 12,38",23,10,2015,2015-10-23 00:00:00
Alface Crespa,Ibiúna,"R$ 9,38",23,10,2015,2015-10-23 00:00:00
Alface Lisa,Ibiúna,"R$ 10,33",23,10,2015,2015-10-23 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,21",29,10,2015,2015-10-29 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 9,89",29,10,2015,2015-10-29 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 12,25",29,10,2015,2015-10-29 00:00:00
Alface Americana,Ibiúna,"R$ 13,75",29,10,2015,2015-10-29 00:00:00
Alface Crespa,Ibiúna,"R$ 9,38",29,10,2015,2015-10-29 00:00:00
Alface Lisa,Ibiúna,"R$ 10,33",29,10,2015,2015-10-29 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,31",5,11,2015,2015-11-05 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 9,14",5,11,2015,2015-11-05 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,00",5,11,2015,2015-11-05 00:00:00
Alface Americana,Ibiúna,"R$ 12,63",5,11,2015,2015-11-05 00:00:00
Alface Crespa,Ibiúna,"R$ 8,88",5,11,2015,2015-11-05 00:00:00
Alface Lisa,Ibiúna,"R$ 9,67",5,11,2015,2015-11-05 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,21",13,11,2015,2015-11-13 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 8,62",13,11,2015,2015-11-13 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,00",13,11,2015,2015-11-13 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,60",13,11,2015,2015-11-13 00:00:00
Alface Americana,Ibiúna,"R$ 13,67",13,11,2015,2015-11-13 00:00:00
Alface Crespa,Ibiúna,"R$ 9,13",13,11,2015,2015-11-13 00:00:00
Alface Lisa,Ibiúna,"R$ 10,00",13,11,2015,2015-11-13 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 12,71",20,11,2015,2015-11-20 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,08",20,11,2015,2015-11-20 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,75",20,11,2015,2015-11-20 00:00:00
Alface Americana,Ibiúna,"R$ 12,88",20,11,2015,2015-11-20 00:00:00
Alface Crespa,Ibiúna,"R$ 9,63",20,11,2015,2015-11-20 00:00:00
Alface Lisa,Ibiúna,"R$ 10,67",20,11,2015,2015-11-20 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,77",27,11,2015,2015-11-27 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,50",27,11,2015,2015-11-27 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,60",27,11,2015,2015-11-27 00:00:00
Alface Americana,Ibiúna,"R$ 13,83",27,11,2015,2015-11-27 00:00:00
Alface Crespa,Ibiúna,"R$ 10,50",27,11,2015,2015-11-27 00:00:00
Alface Lisa,Ibiúna,"R$ 9,50",27,11,2015,2015-11-27 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 10,92",3,12,2015,2015-12-03 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 9,87",3,12,2015,2015-12-03 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,25",3,12,2015,2015-12-03 00:00:00
Alface Americana,Ibiúna,"R$ 14,33",3,12,2015,2015-12-03 00:00:00
Alface Crespa,Ibiúna,"R$ 10,33",3,12,2015,2015-12-03 00:00:00
Alface Lisa,Ibiúna,"R$ 11,33",3,12,2015,2015-12-03 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,50",10,12,2015,2015-12-10 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,44",10,12,2015,2015-12-10 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 11,33",10,12,2015,2015-12-10 00:00:00
Alface Americana,Ibiúna,"R$ 14,20",10,12,2015,2015-12-10 00:00:00
Alface Crespa,Ibiúna,"R$ 10,16",10,12,2015,2015-12-10 00:00:00
Alface Lisa,Ibiúna,"R$ 10,20",10,12,2015,2015-12-10 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 12,37",17,12,2015,2015-12-17 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 12,00",17,12,2015,2015-12-17 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 11,80",17,12,2015,2015-12-17 00:00:00
Alface Americana,Ibiúna,"R$ 15,11",17,12,2015,2015-12-17 00:00:00
Alface Crespa,Ibiúna,"R$ 10,31",17,12,2015,2015-12-17 00:00:00
Alface Lisa,Ibiúna,"R$ 11,35",17,12,2015,2015-12-17 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 13,00",23,12,2015,2015-12-23 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 14,92",23,12,2015,2015-12-23 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 15,89",23,12,2015,2015-12-23 00:00:00
Alface Americana,Ibiúna,"R$ 11,60",23,12,2015,2015-12-23 00:00:00
Alface Crespa,Ibiúna,"R$ 10,83",23,12,2015,2015-12-23 00:00:00
Alface Lisa,Ibiúna,"R$ 10,96",23,12,2015,2015-12-23 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 13,00",30,12,2015,2015-12-30 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 14,92",30,12,2015,2015-12-30 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 15,89",30,12,2015,2015-12-30 00:00:00
Alface Americana,Ibiúna,"R$ 11,60",30,12,2015,2015-12-30 00:00:00
Alface Crespa,Ibiúna,"R$ 10,83",30,12,2015,2015-12-30 00:00:00
Alface Lisa,Ibiúna,"R$ 10,96",30,12,2015,2015-12-30 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 12,00",8,1,2016,2016-01-08 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 14,17",8,1,2016,2016-01-08 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 14,89",8,1,2016,2016-01-08 00:00:00
Alface Americana,Ibiúna,"R$ 10,54",8,1,2016,2016-01-08 00:00:00
Alface Crespa,Ibiúna,"R$ 10,29",8,1,2016,2016-01-08 00:00:00
Alface Lisa,Ibiúna,"R$ 11,92",8,1,2016,2016-01-08 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 13,35",14,1,2016,2016-01-14 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 15,10",14,1,2016,2016-01-14 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 15,72",14,1,2016,2016-01-14 00:00:00
Alface Americana,Ibiúna,"R$ 11,63",14,1,2016,2016-01-14 00:00:00
Alface Crespa,Ibiúna,"R$ 11,93",14,1,2016,2016-01-14 00:00:00
Alface Lisa,Ibiúna,"R$ 13,11",14,1,2016,2016-01-14 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 17,44",21,1,2016,2016-01-21 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 15,79",21,1,2016,2016-01-21 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 16,83",21,1,2016,2016-01-21 00:00:00
Alface Americana,Ibiúna,"R$ 15,45",21,1,2016,2016-01-21 00:00:00
Alface Crespa,Ibiúna,"R$ 15,07",21,1,2016,2016-01-21 00:00:00
Alface Lisa,Ibiúna,"R$ 15,75",21,1,2016,2016-01-21 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 16,56",29,1,2016,2016-01-29 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 15,72",29,1,2016,2016-01-29 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 19,33",29,1,2016,2016-01-29 00:00:00
Alface Americana,Ibiúna,"R$ 15,00",29,1,2016,2016-01-29 00:00:00
Alface Crespa,Ibiúna,"R$ 17,73",29,1,2016,2016-01-29 00:00:00
Alface Lisa,Ibiúna,"R$ 17,60",29,1,2016,2016-01-29 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 15,48",4,2,2016,2016-02-04 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 15,00",4,2,2016,2016-02-04 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 15,50",4,2,2016,2016-02-04 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 15,75",4,2,2016,2016-02-04 00:00:00
Alface Americana,Ibiúna,"R$ 14,68",4,2,2016,2016-02-04 00:00:00
Alface Crespa,Ibiúna,"R$ 14,76",4,2,2016,2016-02-04 00:00:00
Alface Lisa,Ibiúna,"R$ 16,81",4,2,2016,2016-02-04 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 16,83",12,2,2016,2016-02-12 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 15,42",12,2,2016,2016-02-12 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 15,63",12,2,2016,2016-02-12 00:00:00
Alface Americana,Ibiúna,"R$ 12,75",12,2,2016,2016-02-12 00:00:00
Alface Crespa,Ibiúna,"R$ 12,13",12,2,2016,2016-02-12 00:00:00
Alface Lisa,Ibiúna,"R$ 11,17",12,2,2016,2016-02-12 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 15,28",18,2,2016,2016-02-18 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 14,43",18,2,2016,2016-02-18 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 15,40",18,2,2016,2016-02-18 00:00:00
Alface Americana,Ibiúna,"R$ 13,68",18,2,2016,2016-02-18 00:00:00
Alface Crespa,Ibiúna,"R$ 13,10",18,2,2016,2016-02-18 00:00:00
Alface Lisa,Ibiúna,"R$ 13,58",18,2,2016,2016-02-18 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 13,12",25,2,2016,2016-02-25 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 12,93",25,2,2016,2016-02-25 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 13,00",25,2,2016,2016-02-25 00:00:00
Alface Americana,Ibiúna,"R$ 11,14",25,2,2016,2016-02-25 00:00:00
Alface Crespa,Ibiúna,"R$ 11,96",25,2,2016,2016-02-25 00:00:00
Alface Lisa,Ibiúna,"R$ 11,25",25,2,2016,2016-02-25 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 13,40",4,3,2016,2016-03-04 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 13,30",4,3,2016,2016-03-04 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 15,33",4,3,2016,2016-03-04 00:00:00
Alface Americana,Ibiúna,"R$ 7,67",4,3,2016,2016-03-04 00:00:00
Alface Crespa,Ibiúna,"R$ 10,26",4,3,2016,2016-03-04 00:00:00
Alface Lisa,Ibiúna,"R$ 10,17",4,3,2016,2016-03-04 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 17,00",11,3,2016,2016-03-11 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 17,00",11,3,2016,2016-03-11 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 16,00",11,3,2016,2016-03-11 00:00:00
Alface Americana,Ibiúna,"R$ 14,23",11,3,2016,2016-03-11 00:00:00
Alface Crespa,Ibiúna,"R$ 13,67",11,3,2016,2016-03-11 00:00:00
Alface Lisa,Ibiúna,"R$ 15,64",11,3,2016,2016-03-11 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 19,40",17,3,2016,2016-03-17 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 20,20",17,3,2016,2016-03-17 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 19,50",17,3,2016,2016-03-17 00:00:00
Alface Americana,Ibiúna,"R$ 15,83",17,3,2016,2016-03-17 00:00:00
Alface Crespa,Ibiúna,"R$ 17,32",17,3,2016,2016-03-17 00:00:00
Alface Lisa,Ibiúna,"R$ 16,29",17,3,2016,2016-03-17 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 23,00",24,3,2016,2016-03-24 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 24,20",24,3,2016,2016-03-24 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 23,33",24,3,2016,2016-03-24 00:00:00
Alface Americana,Ibiúna,"R$ 20,00",24,3,2016,2016-03-24 00:00:00
Alface Crespa,Ibiúna,"R$ 18,45",24,3,2016,2016-03-24 00:00:00
Alface Lisa,Ibiúna,"R$ 17,60",24,3,2016,2016-03-24 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 20,33",31,3,2016,2016-03-31 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 21,22",31,3,2016,2016-03-31 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 21,00",31,3,2016,2016-03-31 00:00:00
Alface Americana,Ibiúna,"R$ 21,41",31,3,2016,2016-03-31 00:00:00
Alface Crespa,Ibiúna,"R$ 20,98",31,3,2016,2016-03-31 00:00:00
Alface Lisa,Ibiúna,"R$ 22,50",31,3,2016,2016-03-31 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 18,50",14,4,2016,2016-04-14 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 18,33",14,4,2016,2016-04-14 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 18,50",14,4,2016,2016-04-14 00:00:00
Alface Americana,Ibiúna,"R$ 14,75",14,4,2016,2016-04-14 00:00:00
Alface Crespa,Ibiúna,"R$ 15,75",14,4,2016,2016-04-14 00:00:00
Alface Lisa,Ibiúna,"R$ 14,00",14,4,2016,2016-04-14 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 17,83",22,4,2016,2016-04-22 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 17,80",22,4,2016,2016-04-22 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 17,25",22,4,2016,2016-04-22 00:00:00
Alface Americana,Ibiúna,"R$ 14,50",22,4,2016,2016-04-22 00:00:00
Alface Crespa,Ibiúna,"R$ 14,08",22,4,2016,2016-04-22 00:00:00
Alface Lisa,Ibiúna,"R$ 14,00",22,4,2016,2016-04-22 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 14,50",29,4,2016,2016-04-29 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 17,25",29,4,2016,2016-04-29 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 16,33",29,4,2016,2016-04-29 00:00:00
Alface Americana,Ibiúna,"R$ 12,00",29,4,2016,2016-04-29 00:00:00
Alface Crespa,Ibiúna,"R$ 12,73",29,4,2016,2016-04-29 00:00:00
Alface Lisa,Ibiúna,"R$ 10,55",29,4,2016,2016-04-29 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 13,15",6,5,2016,2016-05-06 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 12,80",6,5,2016,2016-05-06 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 13,60",6,5,2016,2016-05-06 00:00:00
Alface Americana,Ibiúna,"R$ 8,80",6,5,2016,2016-05-06 00:00:00
Alface Crespa,Ibiúna,"R$ 10,13",6,5,2016,2016-05-06 00:00:00
Alface Lisa,Ibiúna,"R$ 8,88",6,5,2016,2016-05-06 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,52",13,5,2016,2016-05-13 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,73",13,5,2016,2016-05-13 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 12,00",13,5,2016,2016-05-13 00:00:00
Alface Americana,Ibiúna,"R$ 10,50",13,5,2016,2016-05-13 00:00:00
Alface Crespa,Ibiúna,"R$ 10,18",13,5,2016,2016-05-13 00:00:00
Alface Lisa,Ibiúna,"R$ 8,30",13,5,2016,2016-05-13 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 10,15",20,5,2016,2016-05-20 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,00",20,5,2016,2016-05-20 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,20",20,5,2016,2016-05-20 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 12,00",20,5,2016,2016-05-20 00:00:00
Alface Americana,Ibiúna,"R$ 8,48",20,5,2016,2016-05-20 00:00:00
Alface Crespa,Ibiúna,"R$ 9,10",20,5,2016,2016-05-20 00:00:00
Alface Lisa,Ibiúna,"R$ 7,88",20,5,2016,2016-05-20 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 10,22",27,5,2016,2016-05-27 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 9,33",27,5,2016,2016-05-27 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,00",27,5,2016,2016-05-27 00:00:00
Alface Americana,Ibiúna,"R$ 8,47",27,5,2016,2016-05-27 00:00:00
Alface Crespa,Ibiúna,"R$ 7,11",27,5,2016,2016-05-27 00:00:00
Alface Lisa,Ibiúna,"R$ 7,11",27,5,2016,2016-05-27 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,77",3,6,2016,2016-06-03 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 8,78",3,6,2016,2016-06-03 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 9,75",3,6,2016,2016-06-03 00:00:00
Alface Americana,Ibiúna,"R$ 9,13",3,6,2016,2016-06-03 00:00:00
Alface Crespa,Ibiúna,"R$ 8,28",3,6,2016,2016-06-03 00:00:00
Alface Lisa,Ibiúna,"R$ 8,28",3,6,2016,2016-06-03 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 13,40",10,6,2016,2016-06-10 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 15,00",10,6,2016,2016-06-10 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 15,00",10,6,2016,2016-06-10 00:00:00
Alface Americana,Ibiúna,"R$ 19,75",10,6,2016,2016-06-10 00:00:00
Alface Crespa,Ibiúna,"R$ 16,17",10,6,2016,2016-06-10 00:00:00
Alface Lisa,Ibiúna,"R$ 16,17",10,6,2016,2016-06-10 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 18,25",17,6,2016,2016-06-17 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 20,25",17,6,2016,2016-06-17 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 20,33",17,6,2016,2016-06-17 00:00:00
Alface Americana,Ibiúna,"R$ 20,63",17,6,2016,2016-06-17 00:00:00
Alface Crespa,Ibiúna,"R$ 22,50",17,6,2016,2016-06-17 00:00:00
Alface Lisa,Ibiúna,"R$ 20,00",17,6,2016,2016-06-17 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 18,75",24,6,2016,2016-06-24 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 25,75",24,6,2016,2016-06-24 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 25,75",24,6,2016,2016-06-24 00:00:00
Alface Americana,Ibiúna,"R$ 20,50",24,6,2016,2016-06-24 00:00:00
Alface Crespa,Ibiúna,"R$ 23,20",24,6,2016,2016-06-24 00:00:00
Alface Lisa,Ibiúna,"R$ 22,40",24,6,2016,2016-06-24 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 20,00",8,7,2016,2016-07-08 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 24,20",8,7,2016,2016-07-08 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 24,20",8,7,2016,2016-07-08 00:00:00
Alface Americana,Ibiúna,"R$ 14,38",8,7,2016,2016-07-08 00:00:00
Alface Crespa,Ibiúna,"R$ 17,25",8,7,2016,2016-07-08 00:00:00
Alface Lisa,Ibiúna,"R$ 16,00",8,7,2016,2016-07-08 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 16,55",14,7,2016,2016-07-14 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 17,83",14,7,2016,2016-07-14 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 17,20",14,7,2016,2016-07-14 00:00:00
Alface Americana,Ibiúna,"R$ 12,62",14,7,2016,2016-07-14 00:00:00
Alface Crespa,Ibiúna,"R$ 14,50",14,7,2016,2016-07-14 00:00:00
Alface Lisa,Ibiúna,"R$ 14,50",14,7,2016,2016-07-14 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 16,21",22,7,2016,2016-07-22 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 16,07",22,7,2016,2016-07-22 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 15,20",22,7,2016,2016-07-22 00:00:00
Alface Americana,Ibiúna,"R$ 12,83",22,7,2016,2016-07-22 00:00:00
Alface Crespa,Ibiúna,"R$ 13,60",22,7,2016,2016-07-22 00:00:00
Alface Lisa,Ibiúna,"R$ 12,50",22,7,2016,2016-07-22 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 12,60",29,7,2016,2016-07-29 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 11,67",29,7,2016,2016-07-29 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 13,00",29,7,2016,2016-07-29 00:00:00
Alface Americana,Ibiúna,"R$ 9,00",29,7,2016,2016-07-29 00:00:00
Alface Crespa,Ibiúna,"R$ 9,33",29,7,2016,2016-07-29 00:00:00
Alface Lisa,Ibiúna,"R$ 9,75",29,7,2016,2016-07-29 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 10,74",5,8,2016,2016-08-05 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,00",5,8,2016,2016-08-05 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,00",5,8,2016,2016-08-05 00:00:00
Alface Americana,Ibiúna,"R$ 9,33",5,8,2016,2016-08-05 00:00:00
Alface Crespa,Ibiúna,"R$ 8,67",5,8,2016,2016-08-05 00:00:00
Alface Lisa,Ibiúna,"R$ 8,67",5,8,2016,2016-08-05 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,70",12,8,2016,2016-08-12 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 9,20",12,8,2016,2016-08-12 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 9,75",12,8,2016,2016-08-12 00:00:00
Alface Americana,Ibiúna,"R$ 8,25",12,8,2016,2016-08-12 00:00:00
Alface Crespa,Ibiúna,"R$ 9,50",12,8,2016,2016-08-12 00:00:00
Alface Lisa,Ibiúna,"R$ 9,20",12,8,2016,2016-08-12 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,42",19,8,2016,2016-08-19 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 9,28",19,8,2016,2016-08-19 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 9,80",19,8,2016,2016-08-19 00:00:00
Alface Americana,Ibiúna,"R$ 8,00",19,8,2016,2016-08-19 00:00:00
Alface Crespa,Ibiúna,"R$ 7,13",19,8,2016,2016-08-19 00:00:00
Alface Lisa,Ibiúna,"R$ 7,13",19,8,2016,2016-08-19 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 7,30",26,8,2016,2016-08-26 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 7,30",26,8,2016,2016-08-26 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,30",26,8,2016,2016-08-26 00:00:00
Alface Americana,Ibiúna,"R$ 5,92",26,8,2016,2016-08-26 00:00:00
Alface Crespa,Ibiúna,"R$ 7,24",26,8,2016,2016-08-26 00:00:00
Alface Lisa,Ibiúna,"R$ 6,61",26,8,2016,2016-08-26 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 6,96",1,9,2016,2016-09-01 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 6,92",1,9,2016,2016-09-01 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 6,88",1,9,2016,2016-09-01 00:00:00
Alface Americana,Ibiúna,"R$ 5,50",1,9,2016,2016-09-01 00:00:00
Alface Crespa,Ibiúna,"R$ 5,67",1,9,2016,2016-09-01 00:00:00
Alface Lisa,Ibiúna,"R$ 5,67",1,9,2016,2016-09-01 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 6,80",9,9,2016,2016-09-09 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 6,62",9,9,2016,2016-09-09 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 6,33",9,9,2016,2016-09-09 00:00:00
Alface Americana,Ibiúna,"R$ 6,75",9,9,2016,2016-09-09 00:00:00
Alface Crespa,Ibiúna,"R$ 5,50",9,9,2016,2016-09-09 00:00:00
Alface Lisa,Ibiúna,"R$ 5,50",9,9,2016,2016-09-09 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 6,63",16,9,2016,2016-09-16 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 6,90",16,9,2016,2016-09-16 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,00",16,9,2016,2016-09-16 00:00:00
Alface Americana,Ibiúna,"R$ 7,60",16,9,2016,2016-09-16 00:00:00
