Produto,Região,Preço,Dia,Mês,Ano,Data
Alface Americana,Mogi das Cruzes,"R$ 7,75",27,5,2013,2013-05-27 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 6,20",27,5,2013,2013-05-27 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,00",27,5,2013,2013-05-27 00:00:00
Alface Americana,Ibiúna,"R$ 12,50",27,5,2013,2013-05-27 00:00:00
Alface Crespa,Ibiúna,"R$ 6,00",27,5,2013,2013-05-27 00:00:00
Alface Lisa,Ibiúna,"R$ 8,00",27,5,2013,2013-05-27 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 7,50",4,6,2013,2013-06-04 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 6,00",4,6,2013,2013-06-04 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 6,00",4,6,2013,2013-06-04 00:00:00
Alface Americana,Ibiúna,"R$ 12,00",4,6,2013,2013-06-04 00:00:00
Alface Crespa,Ibiúna,"R$ 8,00",4,6,2013,2013-06-04 00:00:00
Alface Lisa,Ibiúna,"R$ 6,00",4,6,2013,2013-06-04 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 8,40",11,6,2013,2013-06-11 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 9,33",11,6,2013,2013-06-11 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 8,00",11,6,2013,2013-06-11 00:00:00
Alface Americana,Ibiúna,"R$ 9,00",11,6,2013,2013-06-11 00:00:00
Alface Crespa,Ibiúna,"R$ 6,50",11,6,2013,2013-06-11 00:00:00
Alface Lisa,Ibiúna,"R$ 6,00",11,6,2013,2013-06-11 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,00",18,6,2013,2013-06-18 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,25",18,6,2013,2013-06-18 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,67",18,6,2013,2013-06-18 00:00:00
Alface Americana,Ibiúna,"R$ 7,00",18,6,2013,2013-06-18 00:00:00
Alface Crespa,Ibiúna,"R$ 5,00",18,6,2013,2013-06-18 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,75",25,6,2013,2013-06-25 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,00",25,6,2013,2013-06-25 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 9,33",25,6,2013,2013-06-25 00:00:00
Alface Americana,Ibiúna,"R$ 7,00",25,6,2013,2013-06-25 00:00:00
Alface Crespa,Ibiúna,"R$ 8,00",25,6,2013,2013-06-25 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,33",2,7,2013,2013-07-02 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,50",2,7,2013,2013-07-02 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,67",2,7,2013,2013-07-02 00:00:00
Alface Americana,Ibiúna,"R$ 15,00",3,7,2013,2013-07-03 00:00:00
Alface Crespa,Ibiúna,"R$ 15,00",3,7,2013,2013-07-03 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 12,00",10,7,2013,2013-07-10 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 12,67",10,7,2013,2013-07-10 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 12,00",10,7,2013,2013-07-10 00:00:00
Alface Americana,Ibiúna,"R$ 15,00",10,7,2013,2013-07-10 00:00:00
Alface Crespa,Ibiúna,"R$ 15,00",10,7,2013,2013-07-10 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 14,33",16,7,2013,2013-07-16 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 14,33",16,7,2013,2013-07-16 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 14,00",16,7,2013,2013-07-16 00:00:00
Alface Americana,Ibiúna,"R$ 22,00",16,7,2013,2013-07-16 00:00:00
Alface Crespa,Ibiúna,"R$ 15,00",16,7,2013,2013-07-16 00:00:00
Alface Lisa,Ibiúna,"R$ 16,00",16,7,2013,2013-07-16 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 14,25",25,7,2013,2013-07-25 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 21,00",25,7,2013,2013-07-25 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 15,00",25,7,2013,2013-07-25 00:00:00
Alface Americana,Ibiúna,"R$ 19,00",25,7,2013,2013-07-25 00:00:00
Alface Crespa,Ibiúna,"R$ 19,00",25,7,2013,2013-07-25 00:00:00
Alface Lisa,Ibiúna,"R$ 15,00",25,7,2013,2013-07-25 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 14,00",31,7,2013,2013-07-31 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 16,00",31,7,2013,2013-07-31 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 14,33",31,7,2013,2013-07-31 00:00:00
Alface Americana,Ibiúna,"R$ 17,00",31,7,2013,2013-07-31 00:00:00
Alface Crespa,Ibiúna,"R$ 17,00",31,7,2013,2013-07-31 00:00:00
Alface Lisa,Ibiúna,"R$ 10,00",31,7,2013,2013-07-31 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,50",6,8,2013,2013-08-06 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 13,33",6,8,2013,2013-08-06 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 13,33",6,8,2013,2013-08-06 00:00:00
Alface Americana,Ibiúna,"R$ 11,50",6,8,2013,2013-08-06 00:00:00
